"Jahr","Studie","Label","Wert","UKI","OKI","Fallzahl","var","Geschlecht","Bildung","Altersgruppe","Region","Fallzahl_gesamt","typ","stand","var_label","Indikator","Kennzahl","Standardisierung","Achsenbeschriftung","cut","Farbcode","Legende","invalid1","invalid2","invalidFall"
2010,"GEDA10","Adipositas (BMI >= 30)",14.94,10.8,20.31,52,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",362,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(13.3,15.2]","2","13.3-15.2",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",13.09,9.17,18.34,50,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",454,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(11.1,14.4]","2","11.10-14.4",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.83,11.06,24.77,33,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",248,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.4,18.8]","4","16.40-18.8",FALSE,TRUE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",14.87,9.78,21.98,33,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",263,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","[11.8,14.9]","1","11.8-14.9",FALSE,TRUE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",23.7,19.03,29.11,89,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",445,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(21.3,23.7]","5","21.3-23.7",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",16.75,13.26,20.93,90,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",523,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.6,18.9]","2","16.6-18.9",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",20.74,14.29,29.12,53,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",330,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(19.5,23.4]","4","19.50-23.4",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",18.59,13.51,25.02,61,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",399,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.4,20.6]","3","18.4-20.6",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",24.24,19.8,29.31,163,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",720,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(23.8,26.5]","5","23.8-26.5",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",18.64,15.1,22.79,129,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",772,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.6,21.8]","3","18.6-21.8",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",15.41,12.06,19.48,96,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Schleswig-Holstein",742,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(12.7,16]","4","12.70-16.00",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",12.38,9.82,15.5,102,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Schleswig-Holstein",815,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[12.2,14]","1","12.2-14.0",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.07,11.38,22.23,65,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Schleswig-Holstein",508,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.9,18.2]","3","15.9-18.2",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",20.1,16.6,24.11,179,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Schleswig-Holstein",968,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(18.7,20.6]","5","18.7-20.6",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",16.82,12.73,21.88,114,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Schleswig-Holstein",727,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[15.7,17.3]","1","15.7-17.3",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",19.61,16.68,22.91,292,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Schleswig-Holstein",1487,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(18,19.8]","3","18.0-19.8",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",17.57,12.52,24.11,46,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",307,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(16.2,19.3]","5","16.20-19.30",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",13.19,9.26,18.45,50,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",435,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(9.56,13.4]","3"," 9.56-13.4",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",14.6,10.62,19.74,52,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",361,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.3,14.9]","2","13.3-14.9",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",10.27,7.33,14.2,50,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",454,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[8.67,11.7]","1"," 8.67-11.7",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",17.21,10.86,26.19,32,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",246,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(16.5,19.4]","4","16.50-19.4",FALSE,TRUE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",14.92,8.78,24.23,33,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",262,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.8,17.1]","2","13.8-17.1",FALSE,TRUE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",23.44,18.12,29.75,89,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",445,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(20.8,23.4]","5","20.8-23.4",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",16.37,12.44,21.26,90,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",523,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.8,17.9]","3","15.8-17.9",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",19.4,12.85,28.21,53,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",329,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.6,21.5]","4","17.60-21.50",FALSE,TRUE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",14.33,10.2,19.77,61,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",398,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[13,17.2]","1","13.0-17.2",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",22.21,18.01,27.06,163,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",719,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(20.4,23.1]","4","20.4-23.1",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",16.71,12.94,21.31,129,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Schleswig-Holstein",768,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.6,18.9]","3","15.60-18.9",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",19.42,15.52,24.01,100,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",564,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.5,19.7]","5","16.50-19.70",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",17.78,14.03,22.26,97,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",576,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(17,18.8]","4","17.0-18.8",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",17.43,14.59,20.69,162,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",901,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.4,17.6]","2","15.4-17.6",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",19.93,17.17,23.02,207,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",1090,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.7,20.5]","4","18.7-20.5",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",22.92,18.04,28.66,113,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",500,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(21.7,23.3]","5","21.7-23.3",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",19.26,15.86,23.2,222,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",1144,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.2,20.1]","2","18.2-20.1",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",18.24,13.2,24.66,44,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",245,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.7,19.7]","5","16.70-19.70",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",20.59,15.04,27.51,56,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",319,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(17.6,21.3]","5","17.60-21.30",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",16.51,11.45,23.22,39,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",254,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.2,17.1]","3","15.2-17.1",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",19,13.9,25.42,58,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",322,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(17.7,21]","4","17.70-21.0",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",19.1,14.92,24.13,80,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",450,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.8,21.3]","5","18.80-21.3",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",15.7,12.16,20.04,82,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",451,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(14.9,18]","2","14.9-18.0",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",17.79,14.26,21.97,95,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",514,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.6,19]","3","16.6-19.0",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",22.01,17.96,26.67,112,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",576,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(21.2,23.6]","4","21.2-23.6",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",20.75,14.29,29.14,49,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",238,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(19.5,23.4]","4","19.50-23.4",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",25.08,18.29,33.36,64,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",262,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(22.8,25.1]","5","22.8-25.1",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",18.94,14.38,24.53,103,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",505,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.3,21.1]","3","18.3-21.1",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",19.6,14.82,25.44,119,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",639,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.6,21.8]","3","18.6-21.8",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",16.53,13.01,20.77,100,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",564,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(16,19.3]","5","16.00-19.30",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",16.67,13.16,20.89,97,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",576,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.7,17.5]","3","15.7-17.5",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.86,14.07,20.07,162,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",900,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.9,18.2]","3","15.9-18.2",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",18.64,15.76,21.9,207,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",1089,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(16.7,18.7]","4","16.7-18.7",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",23.92,16.85,32.78,112,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",499,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(22.3,23.9]","5","22.3-23.9",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",22.08,16.87,28.36,222,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Thüringen",1142,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(21.5,23.3]","5","21.5-23.3",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",19.32,13.92,26.19,44,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",245,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(16.2,19.3]","5","16.20-19.30",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",13.8,9.79,19.09,56,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",319,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.4,17.3]","4","13.40-17.3",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",14.68,10.31,20.47,39,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",254,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.3,14.9]","2","13.3-14.9",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",18.69,13.58,25.17,58,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",322,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.8,20.9]","4","17.80-20.9",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",18.39,14.37,23.23,80,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",449,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(16.5,19.4]","4","16.50-19.4",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",15.18,11.63,19.58,82,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",451,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.8,17.1]","2","13.8-17.1",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",17.77,13.9,22.43,95,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",513,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.5,18.1]","3","15.5-18.1",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",19.58,15.52,24.38,112,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",576,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.9,19.9]","4","17.9-19.9",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",18.69,12.36,27.25,49,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",238,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.6,21.5]","4","17.60-21.50",FALSE,TRUE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",29.83,18.03,45.1,63,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",261,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(29.7,33.9]","5","29.7-33.9",FALSE,TRUE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",18.76,13.4,25.63,103,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Thüringen",504,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.8,20.4]","3","17.8-20.4",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",25.33,17.07,35.87,119,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Thüringen",638,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(22.3,25.6]","5","22.30-25.6",FALSE,FALSE,FALSE
2009,"GEDA09","Übergewicht inkl. Adipositas (BMI >= 25)",52.18,51.29,53.07,9836,"PAueber","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",20838,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Übergewicht inkl. Adipositas (BMI >= 25)",52.15,51.28,53.02,10269,"PAueber","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",21591,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Übergewicht inkl. Adipositas (BMI >= 25)",52.64,51.66,53.62,9783,"PAueber","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",18902,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Übergewicht inkl. Adipositas (BMI >= 25)",54.01,53.23,54.79,12350,"PAueber","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",23791,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Übergewicht inkl. Adipositas (BMI >= 25)",53.46,52.46,54.45,11969,"PAueber","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",22414,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Übergewicht inkl. Adipositas (BMI >= 25)",53.62,52.9,54.35,23158,"PAueber","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",43981,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Übergewicht inkl. Adipositas (BMI >= 25)",59.67,58.37,60.95,5101,"PAueber","Männlich","Gesamt","Alle Altersgruppen","Deutschland",9061,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Übergewicht inkl. Adipositas (BMI >= 25)",44.99,43.79,46.2,4735,"PAueber","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",11777,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Übergewicht inkl. Adipositas (BMI >= 25)",60.1,58.84,61.34,5451,"PAueber","Männlich","Gesamt","Alle Altersgruppen","Deutschland",9487,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Übergewicht inkl. Adipositas (BMI >= 25)",44.45,43.27,45.64,4818,"PAueber","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",12104,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Übergewicht inkl. Adipositas (BMI >= 25)",59.72,58.34,61.09,5525,"PAueber","Männlich","Gesamt","Alle Altersgruppen","Deutschland",9220,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Übergewicht inkl. Adipositas (BMI >= 25)",45.79,44.42,47.17,4258,"PAueber","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",9682,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Übergewicht inkl. Adipositas (BMI >= 25)",61.61,60.47,62.74,6689,"PAueber","Männlich","Gesamt","Alle Altersgruppen","Deutschland",10785,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Übergewicht inkl. Adipositas (BMI >= 25)",46.72,45.67,47.78,5661,"PAueber","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",13006,"Kat",0,"Übergewicht nach WHO (BMI>=25; aus Selbstangabe)","Adipositas","Übergewicht inkl. Adipositas (BMI >= 25)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
